접수번호,접수일자,농장코드,농장명,구분,담당수의사,질병명,검사종류,결과,PDF_파일ID,파일명
25-07921_혈청,2025-08-20,DB1001,성진,직영,양승혁,PRRS,혈청,,1OcdMSLAhi5Du9Z6-FylL8lxwL-5T3qrk,
25-07789_항원,2025-08-19,DB1001,성진,직영,양승혁,PRRS,항원,,1S5M78WqjxJWrAU0H-Y5ZC-5r4a2NLPX7,
25-07789_혈청,2025-08-19,DB1001,성진,직영,양승혁,PRRS,혈청,,1KniNW6KNEs4HCt_tqkc5p5KcspS1HLdi,
25-07696_,2025-08-19,(세균) 25-07696 DB3023,(세균) 25-07696 DB3023,-,-,PRRS,,,1HOWaTGWS9BDZxeybq_zrfV4JiznQDz-X,
25-07762_항원,2025-08-18,DB1001,성진,직영,양승혁,PRRS,항원,,1EwkJrttOFRoxWpeFivsGgIHFNmCgI_Px,
25-07761_항원,2025-08-18,DB1001,성진,직영,양승혁,PRRS,항원,,1MoC_9O6ssswdqZGkONPzJ9xix5OIxQ6e,
25-07760_항원,2025-08-18,DB1001,성진,직영,양승혁,PRRS,항원,,1XoUMo1j-yoHruNgZYPcbzpcvlnwGCya1,
25-07761_혈청,2025-08-18,DB1001,성진,직영,양승혁,PRRS,혈청,,1aOrHmMNm9fOxcbpMRfcGzioLsPEYm0PK,
25-07760_혈청,2025-08-18,DB1001,성진,직영,양승혁,PRRS,혈청,,18ol3uan-o6l1mxCLRaxnIvNHYOvd6M7G,
25-07696_항원,2025-08-13,DB1001,성진,직영,양승혁,PRRS,항원,,1p4rxPDgYbGzwEqvjl86DqIv0stKa8NjA,
25-07665_항원,2025-08-13,DB1001,성진,직영,양승혁,PRRS,항원,,1ycJW-UkAdXjYQ3aUDK5eFEX6pdilVP9t,
25-07667_항원,2025-08-13,DB1001,성진,직영,양승혁,PRRS,항원,,11CjAwzxV4UVU9vimaP3I2aY26RihoQt7,
25-07666_항원,2025-08-13,DB1001,성진,직영,양승혁,PRRS,항원,,1-tfGmfyELBPCtiXbIyYor2Om5uF-qHiq,
25-07674_혈청,2025-08-13,DB1001,성진,직영,양승혁,PRRS,혈청,,1MI4eYVNM0U9F6QM7VLFefGDnq9mYVHbw,
25-07666_혈청,2025-08-13,DB1001,성진,직영,양승혁,PRRS,혈청,,1PVnkzmwerhazORyPxF6irq-qlkBs0JOv,
25-07611_항원,2025-08-12,DB1001,성진,직영,양승혁,PRRS,항원,,12mMWKIyS-Rk0EEsaM7DrndtgR1qMZ8L8,
25-07611_혈청,2025-08-12,DB1001,성진,직영,양승혁,PRRS,혈청,,1RoW-ifNXT8QLAMRB-zqg0AUysVUc8l6_,
25-07558_항원,2025-08-09,DB1001,성진,직영,양승혁,PRRS,항원,,1pf3II760oH-TgUWke_UPO7fi5yafpLvR,
25-07558_혈청,2025-08-09,DB1001,성진,직영,양승혁,PRRS,혈청,,1TG7LL9oBtuEnceOsuh0AFRMkmrFheJCA,
25-07514_혈청,2025-08-08,DB1001,성진,직영,양승혁,PRRS,혈청,,11d34jr5NOaZmg9s6EcycC59i7Zt7bcDj,
25-07466_항원,2025-08-07,DB1001,성진,직영,양승혁,PRRS,항원,,1oLKdjnmM6TzEn5IsVLyFVdNrLJroUTLh,
25-07466_혈청,2025-08-07,DB1001,성진,직영,양승혁,PRRS,혈청,,1oIYoyN-8dMIWWhOAOeKKH4BwCsijV_jm,
25-07393_혈청,2025-08-06,DB1001,성진,직영,양승혁,PRRS,혈청,,1gWM8D8o9iyTnsBXC3oSaDWhfM_mAKzKf,
25-07430_혈청,2025-08-06,DB1001,성진,직영,양승혁,PRRS,혈청,,1U4tEMJm3ph5T5FploZJej0DsxG-ZCQTr,
25-07393_항원,2025-08-06,DB1001,성진,직영,양승혁,PRRS,항원,,1cZMfzBiCdXY2uSabCK_85D-x4GeuW-4F,
25-07339_혈청,2025-08-05,DB1001,성진,직영,양승혁,PRRS,혈청,,1Erafs_7uNoG2yGHF_6F8D0St6T1xzsys,
25-07339_항원,2025-08-05,DB1001,성진,직영,양승혁,PRRS,항원,,1j3hAhXucrzYkvPECPK6ip0tnD5w7rwYY,
25-07338_혈청,2025-08-05,DB1001,성진,직영,양승혁,PRRS,혈청,,1hDZjGpg17HqBp1Aweys6l1F3124oH9p4,
25-07338_항원,2025-08-05,DB1001,성진,직영,양승혁,PRRS,항원,,1T3OWk1OeEk1E7oJocsya7BRWzY5Dv_Rr,
25-07315_항원,2025-08-04,DB1001,성진,직영,양승혁,PRRS,항원,,1C1ufMNTu9zLkDqkTXtStaTpAd6VoXup2,
25-07306_항원,2025-08-04,DB1001,성진,직영,양승혁,PRRS,항원,,1o2hYsf0nRTHDpstiE-cIytqvS24RNeHk,
25-07305_항원,2025-08-04,DB1001,성진,직영,양승혁,PRRS,항원,,1PBQoBdAjxjQsalvTTctFX_Xh0wWvTfav,
25-07315_혈청,2025-08-04,DB1001,성진,직영,양승혁,PRRS,혈청,,1SiaqsSkCo6OcmKRlLMMJyO6D-6YpZc_l,
25-07306_혈청,2025-08-04,DB1001,성진,직영,양승혁,PRRS,혈청,,1UmlV7Cp00jB0G0SUlic6fHC78o2xpzFt,
